Name,Gender,Usage,Meaning
ADDYSON,f,English (Modern),Feminine variant of ADDISON.
ADELA,f,"English, Spanish, Romanian, Polish, Slovak, Ancient Germanic","Originally a short form of names beginning with the Germanic element adal meaning ""noble"". Saint Adela was a 7th-century Frankish princess who founded a monastery at Pfazel in France. This name was also borne by a daughter of William the Conqueror."
ADELAIDE,f,"English, Italian, Portuguese","Means ""noble type"", from the French form of the Germanic name Adalheidis, which was composed of the elements adal ""noble"" and heid ""kind, sort, type"". It was borne in the 10th century by Saint Adelaide, the wife of the Holy Roman emperor Otto the Great. In Britain the parallel form Alice, derived via Old French, has historically been more common, though this form did gain some currency in the 19th century due to the popularity of the German-born wife of King William IV, for whom the city of Adelaide in Australia was named in 1836."
ADELE,f,"German, English, Italian",Form of ADELA used in several languages.
ADELIA,f,"English, Spanish",Elaborated form of ADELA.
ADELINE,f,"French, English",French and English form of ADELINA.
ADELLA,f,English,Variant of ADELA.
ADELLE,f,English,Variant of ADELE.
ADELYN,f,English (Modern),Variant of ADELINE using the popular name suffix lyn.
ADELYNN,f,English (Modern),Variant of ADELINE using the popular name suffix lynn.
ADEN,m,English (Modern),Variant of AIDAN.
ADENA,f,English (Rare),Possibly a variant of ADINA (1).
ADOLPH,m,English,"English form of ADOLF, rarely used since World War II."
ADRIA,f,English,Short form of ADRIANA.
ADRIAN,m,"English, Romanian, Polish, German, Swedish, Norwegian, Danish, Russian","Form of Hadrianus (see HADRIAN) used in several languages. Several saints and six popes have borne this name, including the only English pope, Adrian IV, and the only Dutch pope, Adrian VI. As an English name, it has been in use since the Middle Ages, though it was not popular until modern times."
ADRIANA,f,"Italian, Spanish, Portuguese, Romanian, Polish, Slovak, Czech, English, Dutch",Feminine form of ADRIAN.
ADRIANNA,f,"English, Polish",Feminine form of ADRIAN.
ADRIANNE,f,English,Feminine form of ADRIAN.
ADRIENNE,f,"French, English",French feminine form of ADRIAN.
AGATHA,f,"English, Ancient Greek (Latinized)","Latinized form of the Greek name Ἀγαθή (Agathe), derived from Greek ἀγαθός (agathos) meaning ""good"". Saint Agatha was a 3rd-century martyr from Sicily who was tortured and killed after spurning the advances of a Roman official. The saint was widely revered in the Middle Ages, and her name has been used throughout Christian Europe (in various spellings). The mystery writer Agatha Christie (1890-1976) was a famous modern bearer of this name."
AGGIE,f,English,Diminutive of AGNES or AGATHA.
AGNES,f,"English, German, Dutch, Swedish, Norwegian, Danish, Icelandic, Estonian, Ancient Greek (Latinized)","Latinized form of the Greek name Ἁγνή (Hagne), derived from Greek ἁγνός (hagnos) meaning ""chaste"". Saint Agnes was a virgin martyred during the persecutions of the Roman emperor Diocletian. The name became associated with Latin agnus ""lamb"", resulting in the saint's frequent depiction with a lamb by her side. Due to her renown, the name became common in Christian Europe.... [more]"
AIDAN,m,"Irish, Scottish, English (Modern)","Anglicized form of AODHÁN. In the latter part of the 20th century it became popular in America due to its sound, since it uses the same fashionable den suffix sound found in such names as Braden and Hayden."
AIDEN,m,English (Modern),Variant of AIDAN.
AILEEN,f,"Scottish, Irish, English",Variant of EILEEN.
AIMEE,f,English,"Variant of AMY, influenced by French AIMÉE."
AINSLEE,f,English (Rare),Variant of AINSLEY.
AINSLEY,f & m,"Scottish, English (Modern)","From a surname that was from a place name: either Annesley in Nottinghamshire or Ansley in Warwickshire. The place names themselves derive from Old English anne ""alone, solitary"" or ansetl ""hermitage"" and leah ""woodland, clearing""."
AINSLIE,f,English (Rare),Variant of AINSLEY.
AL,m,English,Short form of ALBERT and other names beginning with Al. A notable bearer is American actor Al Pacino (1940-).
ALAINA,f,English (Modern),"Variant of ALANA, probably influenced by ELAINE."
ALAIYA,f,English (Modern),Variant of AALIYAH.
ALAN,m,"English, Scottish, Breton, French","The meaning of this name is not known for certain. It was used in Brittany at least as early as the 6th century, and it possibly means either ""little rock"" or ""handsome"" in Breton. Alternatively, it may derive from the tribal name of the Alans, an Iranian people who migrated into Europe in the 4th and 5th centuries.... [more]"
ALANA,f,"English, Breton",Feminine form of ALAN.
ALANI,f,English (Modern),"Possibly a variant of ALANA, or possibly from Hawaiian ʻalani meaning ""orange (tree or fruit)""."
ALANIS,f,English (Rare),Feminine form of ALAN. Canadian musician Alanis Morissette (1974-) was named after her father Alan. Her parents apparently decided to use this particular spelling after seeing this word in a Greek newspaper.
ALANNA,f,English,Feminine form of ALAN.
ALANNAH,f,"English (Modern), Irish","Variant of ALANA. It has been influenced by the affectionate Anglo-Irish word alannah, from the Irish Gaelic phrase a leanbh meaning ""O child""."
ALANNIS,f,English (Rare),Variant of ALANIS.
ALAYA,f,English (Modern),Variant of AALIYAH.
ALAYAH,f,English (Modern),Variant of AALIYAH.
ALAYNA,f,English (Modern),Variant of ALAINA.
ALBAN,m,"German, French, Albanian, English (Rare)","From the Roman cognomen Albanus, which meant ""from Alba"". Alba (from Latin albus ""white"") was the name of various places within the Roman Empire, including the city Alba Longa. This name was borne by Saint Alban, the first British martyr (4th century). According to tradition, he sheltered a fugitive priest in his house. When his house was searched, he disguised himself as the priest, was arrested in his stead, and was beheaded. As an English name, Alban was occasionally used in the Middle Ages and was revived in the 18th century, though it is now uncommon."
ALBERT,m,"English, French, Catalan, German, Polish, Russian, Dutch, Swedish, Norwegian, Danish, Icelandic, Romanian, Hungarian, Ancient Germanic","From the Germanic name Adalbert meaning ""noble and bright"", composed of the elements adal ""noble"" and beraht ""bright"". This name was common among medieval German royalty. The Normans introduced it to England, where it replaced the Old English cognate Æðelberht. Though it became rare in England by the 17th century, it was repopularized in the 19th century by the German-born Prince Albert, the husband of Queen Victoria.... [more]"
ALBERTA,f,"English, Italian, Portuguese","Feminine form of ALBERT. This is the name of a Canadian province, which was named in honour of a daughter of Queen Victoria."
ALBIE,m,English,Diminutive of ALBERT.
ALBIN,m,"Swedish, French, English, Slovene, Polish",Form of ALBINUS in several languages.
ALDEN,m,English,From a surname that was derived from the Old English given name EALDWINE.
ALDOUS,m,English (Rare),"Probably a diminutive of names beginning with the Old English element eald ""old"". It has been in use as an English given name since the Middle Ages, mainly in East Anglia. The British author Aldous Huxley (1894-1963) was a famous bearer of this name."
ALEA,f,English (Rare),Variant of AALIYAH.
ALEAH,f,English (Modern),Variant of AALIYAH.
ALEASE,f,English,Possibly a variant of ALICIA.
ALEC,m,English,Short form of ALEXANDER.
ALECIA,f,English,Variant of ALICIA.
ALEESHA,f,English (Rare),Variant of ALICIA.
ALENE,f,English,Variant of ALINE.
ALESHA,f,English (Modern),Variant of ALICIA.
ALESIA,f,English,Possibly a variant of ALICIA.
ALETA,f,English,"Possibly a variant of ALETHEA. This was the name of the wife of the title character in the comic strip Prince Valiant, which first appeared in 1937."
ALETHA,f,English,Variant of ALETHEA.
ALETHEA,f,English,"Derived from Greek ἀλήθεια (aletheia) meaning ""truth"". This name was coined in the 16th century."
ALEX,m & f,"English, Dutch, German, French, Portuguese, Italian, Romanian, Greek, Swedish, Norwegian, Danish, Icelandic, Hungarian, Czech, Russian","Short form of ALEXANDER, ALEXANDRA, and other names beginning with Alex."
ALEXA,f,"English, German, Hungarian",Short form of ALEXANDRA.
ALEXANDER,m,"English, German, Dutch, Swedish, Norwegian, Danish, Icelandic, Hungarian, Slovak, Biblical, Ancient Greek (Latinized), Greek Mythology (Latinized)","Latinized form of the Greek name Ἀλέξανδρος (Alexandros), which meant ""defending men"" from Greek ἀλέξω (alexo) meaning ""to defend, help"" and ἀνήρ (aner) meaning ""man"" (genitive ἀνδρός). In Greek mythology this was another name of the hero Paris, and it also belongs to several characters in the New Testament. However, the most famous bearer was Alexander the Great, king of Macedon. In the 4th century BC he built a huge empire out of Greece, Egypt, Persia, and parts of India. Due to his fame, and later medieval tales involving him, use of his name spread throughout Europe.... [more]"
ALEXANDRA,f,"English, German, Dutch, French, Swedish, Norwegian, Danish, Icelandic, Greek, Portuguese, Romanian, Czech, Slovak, Hungarian, Catalan, Spanish, Italian, Russian, Ukrainian, Ancient Greek, Greek Mythology","Feminine form of ALEXANDER. In Greek mythology this was a Mycenaean epithet of the goddess Hera, and an alternate name of Cassandra. It was borne by several early Christian saints, and also by the wife of Nicholas II, the last czar of Russia. She was from Germany and had the birth name Alix, but was renamed Александра (Aleksandra) upon joining the Russian Church."
ALEXANDREA,f,English (Modern),Variant of ALEXANDRIA.
ALEXANDRIA,f,English,"Feminine form of ALEXANDER. Alexander the Great founded several cities by this name (or renamed them) as he extended his empire eastward. The most notable of these is Alexandria in Egypt, founded by Alexander in 331 BC."
ALEXANDRINA,f,"Portuguese, English (Rare)",Elaborated form of ALEXANDRA. This was the first name of Queen Victoria; her middle name was Victoria.
ALEXIA,f,"French, English (Modern)",Feminine form of ALEXIS.
ALEXINA,f,English,"Feminine form of ALEX, or a diminutive of ALEXIS."
ALEXIS,m & f,"German, French, English, Greek, Ancient Greek","From the Greek name Ἄλεξις (Alexis) meaning ""helper"" or ""defender"", derived from Greek ἀλέξω (alexo) meaning ""to defend, to help"". This was the name of a 3rd-century BC Greek comic poet, and also of several saints. It is used somewhat interchangeably with the related name Ἀλέξιος or Alexius, borne by five Byzantine emperors. In the English-speaking world it is more commonly used as a feminine name."
ALEXUS,f,English (Modern),Variant of ALEXIS.
ALF (2),m,English,Short form of ALFRED.
ALFIE,m,English,Diminutive of ALFRED.
ALFRED,m,"English, French, Swedish, Norwegian, Danish, German, Polish, Dutch","Means ""elf counsel"", derived from the Old English name Ælfræd, composed of the elements ælf ""elf"" and ræd ""counsel"". Alfred the Great was a 9th-century king of Wessex who fought unceasingly against the Danes living in northeast England. He was also a scholar, and he translated many Latin books into Old English. His fame helped to ensure the usage of this name even after the Norman Conquest, when most Old English names were replaced by Norman ones. It became rare by the end of the Middle Ages, but was revived in the 18th century.... [more]"
ALFREDA,f,"English, Polish (Rare), German (Rare), Italian (Rare)",Feminine form of ALFRED.
ALGAR,m,English (Rare),"Means ""elf spear"" from Old English ælf ""elf"" and gar ""spear"". This Old English name was rarely used after the Norman Conquest, being absorbed by similar-sounding names and Norman and Scandinavian cognates. It was briefly revived in the 19th century."
ALGER,m,English,From a surname that was derived from the given name ALGAR.
ALGERNON,m,English,"Originally a Norman French nickname, derived from aux gernons ""having a moustache"", which was applied to William de Percy, a companion of William the Conqueror. It was first used a given name in the 15th century (for a descendant of William de Percy)."
ALI (2),f,English,"Diminutive of ALISON, ALEXANDRA or other names beginning with the same sound."
ALIAH,f,English (Rare),Variant of AALIYAH.
ALICE,f,"English, French, Portuguese, Italian, German, Czech","From the Old French name Aalis, a short form of Adelais, itself a short form of the Germanic name Adalheidis (see ADELAIDE). This name became popular in France and England in the 12th century. It was among the most common names in England until the 16th century, when it began to decline. It was revived in the 19th century.... [more]"
ALICIA,f,"Spanish, English, Swedish",Latinized form of ALICE.
ALINE,f,"French, Portuguese (Brazilian), English","Medieval short form of ADELINE. As an English name, in modern times it has sometimes been regarded as a variant of EILEEN. This was the name of a popular 1965 song by the French singer Christophe."
ALISE (2),f,English (Rare),Variant of ALICE.
ALISHA,f,English,Variant of ALICIA.
ALISHIA,f,English (Rare),Variant of ALICIA.
ALISIA,f,English (Rare),Variant of ALICIA.
ALISON,f,"English, French","Norman French diminutive of Aalis (see ALICE). It was common in England, Scotland and France in the Middle Ages, and was later revived in England in the 20th century via Scotland. Unlike most other English names ending in son, it is not derived from a surname."
ALISSA,f,English,Variant of ALYSSA.
ALISYA,f,English (Rare),Variant of ALICIA.
ALITA,f,English (Rare),Possibly a variant of ALETHEA.
ALIVIA,f,English (Modern),Variant of OLIVIA.
ALLAN,m,"English, Scottish, Danish, Swedish, Estonian",Variant of ALAN. The American author Edgar Allan Poe (1809-1849) got his middle name from the surname of the parents who adopted him.
ALLANA,f,English (Rare),Variant of ALANA.
ALLANNAH,f,English (Rare),Variant of ALANNAH.
ALLEGRA,f,"Italian, English (Rare)","Means ""cheerful, lively"" in Italian. It was borne by a short-lived illegitimate daughter of Lord Byron (1817-1822)."
ALLEN,m,"English, Scottish","Variant of ALAN. A famous bearer of this name was Allen Ginsberg (1926-1997), an American beat poet. Another is the American film director and actor Woody Allen (1935-), who took the stage name Allen from his real first name."
ALLIE,f,English,"Diminutive of ALISON, ALEXANDRA and other names beginning with the same sound."
ALLISON,f & m,English,"From the middle of the 20th century this has primarily been used as a variant of the feminine name ALISON. However, prior to that it was used as an uncommon masculine name, derived from the English and Scottish surname ALLISON."
ALLISSA,f,English (Rare),Variant of ALYSSA.
ALLY (1),f,English,"Diminutive of ALISON, ALEXANDRA and other names beginning with the same sound."
ALLYCIA,f,English (Rare),Variant of ALICIA.
ALLYN,m & f,English,Variant or feminine form of ALAN.
ALLYSON,f,English,Variant of ALISON.
ALMA (1),f,"English, Spanish, Italian, Dutch","This name became popular after the Battle of Alma (1854), which took place near the River Alma in Crimea and ended in a victory for Britain and France. However, the name was in rare use before the battle; it was probably inspired by Latin almus ""nourishing"". It also coincides with the Spanish word meaning ""the soul""."
ALOYSIUS,m,English,"Latinized form of Aloys, an old Occitan form of LOUIS. This was the name of a 16th-century Italian saint, Aloysius Gonzaga. The name has been in occasional use among Catholics since his time."
ALPHA,f & m,English,"From the name of the first letter in the Greek alphabet, Α."
ALPHONSO,m,English,Variant of ALFONSO.
ALPHONZO,m,English (Rare),Uncommon variant of ALFONSO.
ALTON,m,English,"From an Old English surname that was derived from a place name meaning ""town at the source of the river""."
ALVA (2),m,English,Variant of ALVAH. A famous bearer of this name was the inventor Thomas Alva Edison (1847-1931).
ALVENA,f,English,Feminine form of ALVIN.
ALVIN,m,"English, Swedish","From a medieval form of any of the Old English names ÆLFWINE, ÆÐELWINE or EALDWINE. It was revived in the 19th century, in part from a surname that was derived from the Old English names. As a Scandinavian name it is derived from Alfvin, an Old Norse cognate of Ælfwine."
ALVINA,f,English,Feminine form of ALVIN.
ALYCE,f,English,Variant of ALICE.
ALYCIA,f,English,Variant of ALICIA.
ALYS,f,English,Variant of ALICE.
ALYSA,f,English (Modern),Variant of ALICIA.
ALYSE,f,English (Modern),Variant of ALICE.
ALYSHA,f,English (Modern),Variant of ALICIA.
ALYSIA,f,English,Variant of ALICIA.
ALYSON,f,English,Variant of ALISON.
ALYSSA,f,English,"Variant of ALICIA. The spelling has probably been influenced by that of the alyssum flower, the name of which is derived from Greek ἀ (a), a negative prefix, combined with λύσσα (lyssa) meaning ""madness, rabies"", since it was believed to cure madness."
ALYSSIA,f,English (Modern),Variant of ALICIA.
ALYX,f,English (Rare),Feminine variant of ALEX.
AMABEL,f,English (Rare),Medieval feminine form of AMABILIS.
AMANDA,f,"English, Spanish, Portuguese, Italian, Dutch, Swedish, Norwegian, Danish, Late Roman","In part this is a feminine form of AMANDUS. However, it was not used during the Middle Ages. In the 17th century it was recreated by authors and poets who based it directly on Latin amanda meaning ""lovable, worthy of love"". Notably, the playwright Colley Cibber used it for a character in his play Love's Last Shift (1696). It came into regular use during the 19th century."
AMBER,f,"English, Dutch","From the English word amber that denotes either the gemstone, which is formed from fossil resin, or the orange-yellow colour. The word ultimately derives from Arabic عنبر ('anbar). It began to be used as a given name in the late 19th century, but it only became popular after the release of Kathleen Winsor's novel Forever Amber (1944)."
AMBERLY,f,English (Modern),"Elaboration of AMBER, influenced by the spelling of the name KIMBERLY."
AMBERLYNN,f,English (Rare),Elaboration of AMBER using the popular name suffix lyn.
AMBROSE,m,English,"From the Late Latin name Ambrosius, which was derived from the Greek name Ἀμβρόσιος (Ambrosios) meaning ""immortal"". Saint Ambrose was a 4th-century theologian and bishop of Milan, who is considered a Doctor of the Church. Due to the saint, the name came into general use in Christian Europe, though it was never particularly common in England."
AMBROSINE,f,English (Rare),Feminine form of AMBROSE.
AMELIA,f,"English, Spanish, Italian, Polish, Dutch, German, Ancient Germanic","Variant of AMALIA, though it is sometimes confused with EMILIA, which has a different origin. The name became popular in England after the German House of Hanover came to the British throne in the 18th century - it was borne by daughters of both George II and George III. The author Henry Fielding used it for the title character in his novel Amelia (1751). Another famous bearer was Amelia Earhart (1897-1937), the first woman to make a solo flight over the Atlantic Ocean.... [more]"
AMERICA,f,English,"In the English-speaking world, this name is usually given in reference to the United States of America (see AMERIGO). It came into use as an American name in the 19th century."
AMERY,m & f,English (Rare),Variant of EMERY.
AMETHYST,f,English (Rare),"From the name of the purple semi-precious stone, which is derived from the Greek negative prefix ἀ (a) and μέθυστος (methystos) meaning ""intoxicated, drunk"", as it was believed to be a remedy against drunkenness."
AMI (2),f,English,Variant of AMY.
AMIAS,m,English (Rare),Variant of AMYAS.
AMIE,f,English,Variant of AMY.
AMILIA,f,English (Rare),Variant of either AMALIA or EMILIA.
AMITY,f,English (Rare),"From the English word meaning ""friendship"", ultimately deriving from Latin amicitia."
AMOS,m,"English, Hebrew, Biblical, Biblical Latin, Biblical Greek, Biblical Hebrew","From Hebrew עָמַס ('amas) meaning ""load, burden"". Amos is one of the twelve minor prophets of the Old Testament, the author of the Book of Amos, which speaks against greed, corruption and oppression of the poor. Written about the 8th century BC, it is among the oldest of the prophetic books. As an English name, Amos has been used since the Protestant Reformation, and was popular among the Puritans."
AMY,f,English,"English form of the Old French name Amée meaning ""beloved"" (modern French aimée), a vernacular form of the Latin Amata. As an English name, it was in use in the Middle Ages (though not common) and was revived in the 19th century."
AMYAS,m,English (Rare),"Meaning unknown, perhaps a derivative of AMIS. Alternatively, it may come from a surname that originally indicated that the bearer was from the city of Amiens in France. Edmund Spenser used this name for a minor character in his epic poem The Faerie Queene (1590)."
ANABELLA,f,English (Modern),Variant of ANNABEL.
ANABELLE,f,English (Modern),Variant of ANNABEL.
ANASTASIA,f,"Greek, Russian, Ukrainian, Belarusian, English, Spanish, Italian, Georgian, Ancient Greek","Feminine form of ANASTASIUS. This was the name of a 4th-century Dalmatian saint who was martyred during the persecutions of the Roman emperor Diocletian. Due to her, the name has been common in Eastern Orthodox Christianity (in various spellings). As an English name it has been in use since the Middle Ages. A famous bearer was the youngest daughter of the last Russian tsar Nicholas II, who was rumoured to have escaped the execution of her family in 1918."
ANAYA,f,English (Modern),Variant of ANIYA.
ANDERSON,m,English,"From a surname meaning ""son of ANDREW""."
ANDI,f,English,Diminutive of ANDREA (2).
ANDIE,m & f,English,Diminutive of ANDREW or ANDREA (2).
ANDRE,m,"English, African American",English form of ANDRÉ.
ANDREA (2),f,"English, German, Spanish, Czech, Slovak, Hungarian, Swedish, Norwegian, Danish, Icelandic, Dutch, Croatian, Serbian","Feminine form of ANDREW. As an English name, it has been used since the 17th century, though it was not common until the 20th century."
ANDREW,m,"English, Biblical","English form of the Greek name Ἀνδρέας (Andreas), which was derived from ἀνδρεῖος (andreios) meaning ""manly, masculine"", a derivative of ἀνήρ (aner) meaning ""man"". In the New Testament the apostle Andrew, the first disciple to join Jesus, is the brother of Simon Peter. According to tradition, he later preached in the Black Sea region, with some legends saying he was crucified on an X-shaped cross. Andrew, being a Greek name, was probably only a nickname or a translation of his real Hebrew name, which is not known.... [more]"
ANDRINA,f,English (Rare),Feminine form of ANDREW.
ANDY,m & f,English,Diminutive of ANDREW or sometimes ANDREA (2). American pop artist and filmmaker Andy Warhol (1928-1987) was a famous bearer of this name.
ANEMONE,f,English (Rare),"From the name of the anemone flower, which is derived from Greek ἄνεμος (anemos) meaning ""wind""."
ANGEL,m & f,"English, Bulgarian, Macedonian","From the medieval Latin masculine name Angelus, which was derived from the name of the heavenly creature (itself derived from the Greek word ἄγγελος (angelos) meaning ""messenger""). It has never been very common in the English-speaking world, where it is sometimes used as a feminine name in modern times."
ANGELA,f,"English, Italian, German, Dutch, Romanian, Slovene, Slovak, Russian, Macedonian, Late Roman","Feminine form of Angelus (see ANGEL). As an English name, it came into use in the 18th century."
ANGELIA,f,English,Elaborated form of ANGELA.
ANGELICA,f,"English, Italian, Romanian","Derived from Latin angelicus meaning ""angelic"", ultimately related to Greek ἄγγελος (angelos) meaning ""messenger"". The poets Boiardo and Ariosto used this name in their Orlando poems (1483 and 1532), where it belongs to Orlando's love interest. It has been used as a given name since the 18th century."
ANGELINA,f,"Italian, English, Russian, German, Dutch, Spanish, Portuguese, Greek",Latinate diminutive of ANGELA. A famous bearer is American actress Angelina Jolie (1975-).
ANGELLE,f,English (Rare),Feminine variant of ANGEL.
ANGIE,f,English,Diminutive of ANGELA.
ANGUS,m,"Scottish, Irish, English",Anglicized form of AONGHUS.
ANIMA (2),f,English (Rare),"Means ""soul, spirit"" in Latin. In Jungian psychology the anima is an individual's true inner self, or soul."
ANISE,f,English (Rare),"From the English word for the herb, also called aniseed."
ANISSA,f,English,"This name was first brought to public attention in 1966 by the child actress Anissa Jones (1958-1976). In her case it was a transcription of the Arabic name أنيسة (see ANISA), given to honour her Lebanese heritage. Other parents who have since used this name may view it simply as an elaboration of ANNA using the popular name suffix issa."
ANITA (1),f,"Spanish, Portuguese, Croatian, Slovene, English, Dutch, German, Swedish, Norwegian, Danish, Finnish, Polish, Latvian","Spanish, Portuguese, Croatian and Slovene diminutive of ANA."
ANIYA,f,English (Modern),"Modern name, possibly based on ANYA or AALIYAH."
ANIYAH,f,English (Modern),Variant of ANIYA.
ANJELICA,f,English (Modern),Variant of ANGELICA.
ANN,f,"English, Manx","English and Manx form of ANNE (1). In the English-speaking world, both this spelling and Anne have been used since the late Middle Ages. Currently Ann is less popular than Anne (and both are less popular than their relatives Anna and Hannah)."
ANNA,f,"English, Italian, German, Dutch, Swedish, Norwegian, Danish, Finnish, Estonian, Latvian, Greek, Hungarian, Polish, Russian, Ukrainian, Belarusian, Czech, Slovak, Bulgarian, Icelandic, Faroese, Catalan, Occitan, Breton, Biblical, Old Church Slavic, Biblical Latin, Biblical Greek","Form of Channah (see HANNAH) used in the Greek and Latin Old Testament. Many later Old Testament translations, including the English, use the Hannah spelling instead of Anna. The name appears briefly in the New Testament belonging to a prophetess who recognized Jesus as the Messiah. It was a popular name in the Byzantine Empire from an early date, and in the Middle Ages it became common among Western Christians due to veneration of Saint Anna (usually known as Saint Anne in English), the name traditionally assigned to the mother of the Virgin Mary.... [more]"
ANNABEL,f,"English, Dutch",Variant of AMABEL influenced by the name ANNA. This name appears to have arisen in Scotland in the Middle Ages.
ANNABELLA,f,"Italian, English (Modern)",Latinate form of ANNABEL. It can also be taken as a combination of ANNA and BELLA.
ANNABELLE,f,"English, French",Variant of ANNABEL. It can also be taken as a combination of ANNA and BELLE.
ANNABETH,f,English (Rare),Combination of ANNA and BETH.
ANNALEE,f,English (Modern),Combination of ANNA and LEE.
ANNALISE,f,English (Modern),Combination of ANNA and LISE.
ANNE (1),f,"French, English, Swedish, Norwegian, Danish, Finnish, Estonian, German, Dutch, Basque","French form of ANNA. It was imported to England in the 13th century, but it did not become popular until three centuries later. The spelling variant Ann was also commonly found from this period, and is still used to this day.... [more]"
ANNEKA,f,English (Rare),Variant of ANNIKA.
ANNETTE,f,"French, English, German, Danish, Swedish, Norwegian, Dutch","French diminutive of ANNE (1). It has also been widely used in the English-speaking world, and it became popular in America in the late 1950s due to the fame of actress Annette Funicello (1942-)."
ANNICE,f,English,Variant of ANNIS.
ANNIE,f,"English, French, Dutch",Diminutive of ANNE (1).
ANNIKA,f,"Swedish, Dutch, Finnish, Estonian, German, English (Modern)",Swedish diminutive of ANNA.
