Theme,Name,Gender,Usage,Meanings
"""brave""",ANH,m & f,Vietnamese,"This name is frequently combined with a middle name to create a compound name; the meaning of Anh changes depending on the Sino-Vietnamese characters underlying the compound. It is often from Sino-Vietnamese 英 (anh) meaning ""flower, petal, brave, hero"", though in compounds it often takes on the meaning ""intelligent, bright""."
"""brave""",ARCHIBALD,m,"Scottish, English","Derived from the Germanic elements ercan ""genuine"" and bald ""bold"". The first element was altered due to the influence of Greek names beginning with the element ἀρχός (archos) meaning ""master"". The Normans brought this name to England. It first became common in Scotland in the Middle Ages."
"""brave""",ARDITO,m,Italian,"Derived from medieval Italian ardito ""bold""."
"""brave""",ARI (3),m,Armenian,"Means ""brave"" in Armenian."
"""brave""",ASLAN,m,"Turkish, Kazakh, Azerbaijani, Chechen, Ossetian, Circassian","From Turkic arslan meaning ""lion"". This was a byname or title borne by several medieval Turkic rulers, including the Seljuk sultan Alp Arslan (a byname meaning ""brave lion"") who drove the Byzantines from Anatolia in the 11th century. The author C. S. Lewis later used the name Aslan for the main protagonist (a lion) in his Chronicles of Narnia series of books, first appearing in 1950."
"""brave""",ATREUS,m,Greek Mythology,"Means ""fearless"", derived from the Greek negative prefix ἀ (a) and τρέω (treo) meaning ""to fear, to flee"". In Greek mythology, Atreus was a king of Mycenae and the father of Agamemnon and Menelaus."
"""brave""",BALDO,m,"Italian, Spanish, Ancient Germanic","Originally a short form of names containing the Germanic element bald ""bold, brave"", such as BALDWIN and THEOBALD. In Italian it can also be short for the non-Germanic name BALDASSARE."
"""brave""",BALDOMERO,m,Spanish,"Derived from the Germanic elements bald ""bold, brave"" and mari ""famous""."
"""brave""",BALDRIC,m,English (Archaic),"Derived from the Germanic elements bald ""bold, brave"" and ric ""ruler, mighty"". The Normans introduced this name to Britain, and it was common in the Middle Ages."
"""brave""",BALDWIN,m,"English, Ancient Germanic","Means ""bold friend"", derived from the Germanic elements bald ""bold, brave"" and win ""friend"". In the Middle Ages this was a popular name in Flanders and among the Normans, who brought it to Britain. It was borne by one of the leaders of the First Crusade, an 11th-century nobleman from Flanders. After the crusaders conquered Jerusalem, he was crowned as the king of the Kingdom of Jerusalem."
"""brave""",BASIL (2),m,Arabic,"Means ""brave, valiant"" in Arabic."
"""brave""",BATRAZ,m,"Ossetian, Caucasian Mythology","Possibly from Turkic bagatur meaning ""hero, warrior, brave"". This is the name of the leader of the superhuman Narts in Caucasian mythology."
"""brave""",BERNARD,m,"English, French, Dutch, Polish, Croatian, Slovene, Czech, Ancient Germanic","Derived from the Germanic element bern ""bear"" combined with hard ""brave, hardy"". The Normans brought it to England, where it replaced the Old English cognate Beornheard. This was the name of several saints, including Saint Bernard of Menthon who built hospices in the Swiss Alps in the 10th century, and Saint Bernard of Clairvaux, a 12th-century theologian and Doctor of the Church. Other famous bearers include the Irish playwright and essayist George Bernard Shaw (1856-1950) and the British World War II field marshal Bernard Montgomery (1887-1976)."
"""brave""",BLANCHARD,m,Ancient Germanic,"Derived from the Germanic elements blanc meaning ""white"" and hard meaning ""brave, hardy""."
"""brave""",BRAVA,f,Esperanto,"Means ""valiant, brave"" in Esperanto."
"""brave""",BURKHARD,m,"German, Ancient Germanic","Derived from the Germanic elements burg meaning ""protection"" and hard ""brave, hardy"". Saint Burkhard was a bishop who founded several monasteries in Germany in the 8th century."
"""brave""",CANER,m,Turkish,"From Turkish can meaning ""soul, life"" and er meaning ""brave man""."
"""brave""",CENRIC,m,Anglo-Saxon,"Derived from Old English cene ""bold"" and ric ""ruler""."
"""brave""",CONRAD,m,"English, German, Ancient Germanic","Means ""brave counsel"", derived from the Germanic elements kuoni ""brave"" and rad ""counsel"". This was the name of a 10th-century saint and bishop of Konstanz, in southern Germany. It was also borne by several medieval German kings and dukes. In England it was occasionally used during the Middle Ages, but has only been common since the 19th century when it was reintroduced from Germany."
"""brave""",CYNEBALD,m,Anglo-Saxon,"Derived from Old English cyne ""royal"" and beald ""bold""."
"""brave""",CYNEHEARD,m,Anglo-Saxon,"Derived from Old English cyne ""royal"" and heard ""brave, hardy""."
"""brave""",DALER,m,Tajik,"From Tajik далерӣ (daleri) meaning ""courage"", ultimately from Persian دلاور (delaver) meaning ""brave, valiant""."
"""brave""",DECEBAL,m,Romanian,"Means ""powerful, brave"" in Dacian. This was the name adopted by Diurpaneus, a 1st-century king of Dacia. For many years he successfully resisted Roman expansion into his territory but was finally defeated by the forces of Emperor Trajan in 106."
"""brave""",DŨNG,m,Vietnamese,"From Sino-Vietnamese 勇 (dũng) meaning ""brave""."
"""brave""",EFE (1),m,Turkish,"Means ""older brother, brave"" in Turkish."
"""brave""",EGILHARD,m,Ancient Germanic,"Germanic name derived from the elements agil ""edge of a sword"" and hard ""brave, hardy""."
"""brave""",EKKEHARD,m,"German, Ancient Germanic","Derived from the Germanic elements ag ""edge"" and hard ""brave, hardy""."
"""brave""",ERCAN,m,Turkish,"From Turkish er meaning ""brave man"" and can meaning ""soul, life""."
"""brave""",ERDOĞAN,m,Turkish,"From Turkish er ""brave man"" and doğan ""falcon""."
"""brave""",ERHAN,m,Turkish,"From Turkish er ""brave man"" and han, which is from the title khan meaning ""leader""."
"""brave""",ERHARD,m,"German, Ancient Germanic","Derived from the Germanic element era ""honour, respect"" or hari ""army"" combined with hard ""brave, hardy"". In some cases it may be a variant of EBERHARD."
"""brave""",ERKAN,m,Turkish,"From Turkish er ""brave man"" and kan ""blood""."
"""brave""",EROL,m,Turkish,"Means ""brave"" in Turkish."
"""brave""",ERTUĞRUL,m,Turkish,"From Turkish er meaning ""brave man"" and tuğrul, referring to a mythical bird of prey."
"""brave""",EUN-YEONG,f,Korean,"From Sino-Korean 恩 (eun) meaning ""kindness, mercy, charity"" and 英 (yeong) meaning ""flower, petal, brave, hero"". This name can be formed by other hanja character combinations as well."
"""brave""",EVERARD,m,English (Rare),"Means ""brave boar"", derived from the Germanic elements ebur ""wild boar"" and hard ""brave, hardy"". The Normans introduced it to England, where it joined the Old English cognate Eoforheard. It has only been rarely used since the Middle Ages. Modern use of the name may be inspired by the surname Everard, itself derived from the medieval name."
"""brave""",FERDINAND,m,"German, French, Dutch, English, Slovak, Czech, Slovene, Croatian, Ancient Germanic","From Ferdinando, the old Spanish form of a Germanic name composed of the elements fardi ""journey"" and nand ""daring, brave"". The Visigoths brought the name to the Iberian Peninsula, where it entered into the royal families of Spain and Portugal. From there it became common among the Habsburg royal family of the Holy Roman Empire and Austria, starting with the Spanish-born Ferdinand I in the 16th century. A notable bearer was Portuguese explorer Ferdinand Magellan (1480-1521), called Fernão de Magalhães in Portuguese, who was the leader of the first expedition to sail around the earth."
"""brave""",FREDENAND,m,Ancient Germanic,"Derived from the Germanic elements frid ""peace"" and nand ""daring, brave""."
"""brave""",GANZORIG,m,Mongolian,"Means ""steel courage"" in Mongolian."
"""brave""",GEBHARD,m,"German, Ancient Germanic","Derived from the Germanic element geb ""gift"" combined with hard ""brave, hardy"". Saint Gebhard was a 10th-century bishop of Constance."
"""brave""",GERARD,m,"English, Dutch, Catalan, Polish","Derived from the Germanic element ger meaning ""spear"" combined with hard meaning ""brave, hardy"". The Normans introduced this name to Britain. It was initially much more common than the similar name Gerald, with which it was often confused, but it is now less common."
"""brave""",GERBOLD,m,Ancient Germanic,"Derived from the Germanic elements ger meaning ""spear"" and bald meaning ""bold""."
"""brave""",GODEHARD,m,Ancient Germanic,"Germanic name derived from the elements god ""god"" and hard ""hardy, brave"". This was the name of an 11th-century saint who was a bishop of Hildesheim."
"""brave""",GÖKER,m,Turkish,"From Turkish gök meaning ""sky"" and er meaning ""brave man""."
"""brave""",GUISCARD,m,Medieval French,"Norman French form of the Norman name Wischard, formed of the Old Norse elements viskr ""wise"" and hórðr ""brave, hardy""."
"""brave""",GUIYING,m & f,Chinese,"From Chinese 桂 (guì) meaning ""laurel, cassia, cinnamon"" combined with 英 (yīng) meaning ""flower, petal, brave, hero"". This name can be formed from other character combinations as well."
"""brave""",HÀO,m,Vietnamese,"From Sino-Vietnamese 豪 (hào) meaning ""brave, heroic""."
"""brave""",HARDY,m,English,"From a surname that was derived from Middle English hardi ""bold, hardy""."
"""brave""",HARTMANN,m,German (Rare),"Means ""brave man"", derived from the Germanic element hard ""brave, hardy"" combined with man."
"""brave""",HARTMUT,m,"German, Ancient Germanic","Means ""brave mind"", derived from the Germanic elements hard ""brave, hardy"" and muot ""mind, spirit""."
"""brave""",HARTWIG,m,"German, Ancient Germanic","Derived from the Germanic elements hard ""brave, hardy"" and wig ""battle""."
"""brave""",HARTWIN,m,"German (Rare), Ancient Germanic","Means ""brave friend"" from the Germanic elements hard ""brave, hardy"" and win ""friend""."
"""brave""",HEARD,m,Anglo-Saxon,"Short form of various Old English names containing the element heard meaning ""brave, hardy""."
"""brave""",HUGHARD,m,Ancient Germanic,"Derived from the Germanic elements hug ""heart, mind"" and hard ""brave, hardy""."
"""brave""",HÙNG,m,Vietnamese,"From Sino-Vietnamese 雄 (hùng) meaning ""brave, manly""."
"""brave""",İLKER,m,Turkish,"Means ""first man"" in Turkish, derived from ilk ""first"" and er ""man, brave""."
"""brave""",ISAMU,m,Japanese,"From Japanese 勇 (isamu) meaning ""brave"" or other kanji having the same pronunciation."
"""brave""",JASUR,m,Uzbek,"Means ""brave"" in Uzbek."
"""brave""",JIAHAO,m,Chinese,"From Chinese 家 (jiā) meaning ""home, family"" combined with 豪 (háo) meaning ""brave, heroic, chivalrous"". This name can be formed from other character combinations as well."
"""brave""",JI-YEONG,f & m,Korean,"From Sino-Korean 智 (ji) meaning ""wisdom, intellect"" or 知 (ji) meaning ""know, perceive, comprehend"" combined with 英 (yeong) meaning ""flower, petal, brave, hero"" or 榮 (yeong) meaning ""glory, honour, flourish, prosper"". Many other hanja character combinations are possible."
"""brave""",KARA (2),m,Ottoman Turkish,"Means ""black, dark"" in Turkish. This was sometimes used as a byname by Ottoman officials, figuratively meaning ""courageous""."
"""brave""",KEMEN,m,Basque,"Means ""courage, vigour"" in Basque."
"""brave""",KENDRICK,m,English,"From a surname that has several different origins. It could be from the Old English given names Cyneric ""royal power"" or Cenric ""bold power"", or from the Welsh name Cynwrig ""chief hero"". It can also be an Anglicized form of the Gaelic surname Mac Eanraig meaning ""son of HENRY""."
"""brave""",KENELM,m,English (Rare),"From the Old English name Cenhelm, which was composed of the elements cene ""bold, keen"" and helm ""helmet"". Saint Kenelm was a 9th-century martyr from Mercia, where he was a member of the royal family. The name was occasionally used during the Middle Ages, but has since become rare."
"""brave""",KLAHAN,m,Thai,"Means ""brave"" in Thai."
"""brave""",LEONARD,m,"English, Dutch, German, Polish, Romanian, Ancient Germanic","Means ""brave lion"", derived from the Germanic elements lewo ""lion"" (of Latin origin) and hard ""brave, hardy"". This was the name of a 5th-century Frankish saint from Noblac who is the patron of prisoners and horses. The Normans brought this name to England, where it was used steadily through the Middle Ages, becoming even more common in the 20th century."
